1575,2762,"El Alto Intl","La Paz","Bolivia","LPB","SLLP",-16.51,-68.19,13325,-4,"U"
281,491,"Liverpool","Liverpool","United Kingdom","LPL","EGGP",53.33,-2.84,80,0,"E"
1161,1759,"Casa De Campo Intl","La Romana","Dominican Republic","LRM","MDLR",18.45,-68.91,240,-4,"U"
1097,1675,"Lugano","Lugano","Switzerland","LUG","LSZA",46.00,8.91,915,1,"E"
398,629,"Luxembourg","Luxemburg","Luxembourg","LUX","ELLX",49.62,6.21,1234,1,"E"
697,1132,"Luxor Intl","Luxor","Egypt","LXR","HELX",25.67,32.70,294,2,"U"
832,1335,"Saint Exupery","Lyon","France","LYS","LFLL",45.72,5.09,821,1,"E"
1396,2249,"Marshall Islands Intl","Majuro","Marshall Islands","MAJ","PKMJ",7.06,171.27,6,12,"U"
273,478,"Manchester","Manchester","United Kingdom","MAN","EGCC",53.35,-2.27,257,0,"E"
1498,2551,"Eduardo Gomes Intl","Manaus","Brazil","MAO","SBEG",-3.03,-60.04,264,-4,"S"
1179,1780,"Sangster Intl","Montego Bay","Jamaica","MBJ","MKJS",18.50,-77.91,4,-5,"U"
1518,2591,"Macapa","Macapa","Brazil","MCP","SBMQ",0.05,-51.07,56,-3,"S"
1382,2194,"Seeb Intl","Muscat","Oman","MCT","OOMS",23.59,58.28,48,4,"U"
1746,3222,"Mandalay Intl","Mandalay","Burma","MDL","VYMD",21.70,95.97,300,6,"U"
1231,1824,"Licenciado Benito Juarez Intl","Mexico City","Mexico","MEX","MMMX",19.43,-99.07,7316,-6,"S"
1720,3121,"Macau Intl","Macau","Macau","MFM","VMMC",22.14,113.59,20,8,"U"
2259,8596,"All Airports","Milan","Italy","MIL","\N",45.46,9.18,402,1,"E"
1039,1606,"Luqa","Malta","Malta","MLA","LMML",35.85,14.47,300,1,"E"
1733,3156,"Male Intl","Male","Maldives","MLE","VRMM",4.19,73.52,6,5,"U"
892,1423,"Bale Mulhouse","Mulhouse","France","MLH","LFSB",47.58,7.52,885,1,"E"
1111,1695,"Erhac","Malatya","Turkey","MLX","LTAT",38.43,38.09,2828,2,"E"
317,522,"Durham Tees Valley Airport","Teesside","United Kingdom","MME","EGNV",54.50,-1.42,120,0,"E"
1445,2397,"Ninoy Aquino Intl","Manila","Philippines","MNL","RPLL",14.50,121.01,75,8,"N"
1319,1992,"Moorea","Moorea","French Polynesia","MOZ","NTTM",-17.48,-149.76,9,-10,"U"
604,979,"Maputo","Maputo","Mozambique","MPM","FQMA",-25.92,32.57,145,2,"U"
846,1353,"Provence","Marseille","France","MRS","LFML",43.43,5.21,74,1,"E"
576,893,"Sir Seewoosagur Ramgoolam Intl","Plaisance","Mauritius","MRU","FIMP",-20.43,57.68,186,5,"N"
305,510,"Manston","Manston","United Kingdom","MSE","EGMH",51.34,1.34,178,0,"E"
628,1018,"Moshoeshoe I Intl","Maseru","Lesotho","MSU","FXMM",-29.46,27.55,5348,2,"U"
29,346,"Franz Josef Strauss","Munich","Germany","MUC","EDDM",48.35,11.78,1487,1,"E"
1590,2816,"Carrasco Intl","Montevideo","Uruguay","MVD","SUMU",-34.83,-56.03,105,-3,"S"
1233,1826,"General Rafael Buelna Intl","Mazatlan","Mexico","MZT","MMMZ",23.16,-106.26,38,-7,"S"
1311,1960,"Nadi Intl","Nandi","Fiji","NAN","NFFN",-17.75,177.44,59,12,"U"
1013,1561,"Capodichino","Naples","Italy","NAP","LIRN",40.88,14.29,294,1,"E"
1307,1953,"Lynden Pindling Intl","Nassau","Bahamas","NAS","MYNN",25.03,-77.46,16,-5,"U"
2098,4059,"Jomo Kenyatta International","Nairobi","Kenya","NBO","HKJK",-1.31,36.92,5327,3,"N"
848,1354,"Cote D\\'Azur","Nice","France","NCE","LFMN",43.65,7.21,12,1,"E"
118,6079,"Vance Winkworth Amory International Airport","Charlestown","Saint Kitts and Nevis","NEV","TKPN",17.20,-62.58,14,-4,"U"
1801,3359,"Norfolk Island Intl","Norfolk Island","Norfolk Island","NLK","YSNF",-29.04,167.93,371,11,"U"
1322,2005,"La Tontouta","Noumea","New Caledonia","NOU","NWWW",-22.01,166.21,52,11,"U"
30,347,"Nurnberg","Nuernberg","Germany","NUE","EDDN",49.49,11.06,1046,1,"E"
1067,1636,"Porto","Porto","Portugal","OPO","LPPR",41.24,-8.68,228,0,"E"
413,644,"Gardermoen","Oslo","Norway","OSL","ENGM",60.19,11.10,681,1,"E"
1027,1582,"Mosnov","Ostrava","Czech Republic","OSR","LKMT",49.69,18.11,844,1,"E"
1087,1657,"Henri Coanda","Bucharest","Romania","OTP","LROP",44.57,26.10,314,2,"E"
1296,1897,"Toussaint Louverture Intl","Port-au-prince","Haiti","PAP","MTPP",18.58,-72.29,122,-5,"U"
2254,8588,"All Airports","Paris","France","PAR","\N",48.85,2.35,107,1,"E"
1805,3364,"Capital Intl","Beijing","China","PEK","ZBAA",40.08,116.58,116,8,"U"
1796,3351,"Perth Intl","Perth","Australia","PER","YPPH",-31.94,115.96,67,8,"N"
732,1198,"Pafos Intl","Paphos","Cyprus","PFO","LCPH",34.71,32.48,41,2,"E"
1159,1754,"Providenciales","Providenciales","Turks and Caicos Islands","PLS","MBPV",21.77,-72.26,15,-5,"U"
2059,3998,"Son Sant Joan","Palma de Mallorca","Spain","PMI","LEPA",39.55,2.72,24,1,"E"
967,1512,"Palermo","Palermo","Italy","PMO","LICJ",38.17,13.09,65,1,"E"
1697,3034,"Phnom Penh Intl","Phnom-penh","Cambodia","PNH","VDPP",11.54,104.84,40,7,"U"
1398,2255,"Pohnpei Intl","Pohnpei","Micronesia","PNI","PTPN",6.98,158.20,10,11,"U"
1164,1761,"Gregorio Luperon Intl","Puerto Plata","Dominican Republic","POP","MDPP",19.75,-70.57,15,-4,"U"
1626,2902,"Piarco","Port-of-spain","Trinidad and Tobago","POS","TTPP",10.59,-61.33,58,-4,"U"
2107,4075,"Faa\\'a International","Papeete","French Polynesia","PPT","NTAA",-17.55,-149.61,7,-10,"U"
1029,1587,"Ruzyne","Prague","Czech Republic","PRG","LKPR",50.10,14.26,1247,1,"E"
612,995,"Praslin","Praslin","Seychelles","PRI","FSPP",-4.31,55.69,10,4,"U"
1015,1562,"Pisa","Pisa","Italy","PSA","LIRP",43.68,10.39,6,1,"E"
1610,2881,"Le Raizet","Pointe-a-pitre","Guadeloupe","PTP","TFFR",16.26,-61.53,36,-4,"U"
1287,1871,"Tocumen Intl","Panama City","Panama","PTY","MPTO",9.07,-79.38,135,-5,"U"
1163,1760,"Punta Cana Intl","Punta Cana","Dominican Republic","PUJ","MDPC",18.56,-68.36,47,-4,"U"
1542,2647,"Carlos Ibanez Del Campo Intl","Punta Arenas","Chile","PUQ","SCCI",-53.00,-70.85,139,-4,"S"
1438,2372,"Gimhae Intl","Busan","South Korea","PUS","RKPK",35.17,128.93,6,9,"U"
736,1203,"Pula","Pula","Croatia","PUY","LDPL",44.89,13.92,274,1,"E"
1827,3406,"Pudong","Shanghai","China","PVG","ZSPD",31.14,121.80,13,8,"U"
2246,8024,"St Pancras Railway Station","London","United Kingdom","QQS","\N",51.53,-0.12,80,0,"E"
666,1075,"Menara","Marrakech","Morocco","RAK","GMMX",31.60,-8.03,1545,0,"N"
1525,2610,"Guararapes Gilberto Freyre Intl","Recife","Brazil","REC","SBRF",-8.12,-34.92,33,-3,"S"
1698,3035,"Siem Reap","Siem-reap","Cambodia","REP","VDSR",13.41,103.81,60,7,"U"
1320,1995,"Raiatea","Raiatea Island","French Polynesia","RFP","NTTR",-16.72,-151.46,3,-10,"U"
1317,1990,"Rangiroa","Rangiroa","French Polynesia","RGI","NTTG",-14.95,-147.66,10,-10,"U"
1747,3239,"Yangon Intl","Yangon","Burma","RGN","VYYY",16.90,96.13,109,6,"U"
937,1472,"Rhodes Diagoras","Rhodos","Greece","RHO","LGRP",36.40,28.08,17,2,"E"
2044,3953,"Riga Intl","Riga","Latvia","RIX","EVRA",56.92,23.97,34,2,"E"
738,1205,"Rijeka","Rijeka","Croatia","RJK","LDRI",45.21,14.57,278,1,"E"
387,617,"Roskilde","Copenhagen","Denmark","RKE","EKRK",55.58,12.13,146,1,"E"
35,18,"Reykjavik","Reykjavik","Iceland","RKV","BIRK",64.13,-21.94,48,0,"N"
1173,1774,"Juan Manuel Galvez Intl","Roatan","Honduras","RTB","MHRO",16.31,-86.52,18,-6,"U"
359,591,"Rotterdam","Rotterdam","Netherlands","RTM","EHRD",51.95,4.43,-15,1,"E"
590,916,"St Denis Gillot","St.-denis","Reunion","RUN","FMEE",-20.88,55.51,66,5,"U"
1292,1892,"El Salvador Intl","San Salvador","El Salvador","SAL","MSLP",13.44,-89.05,101,-6,"U"
1545,2650,"Arturo Merino Benitez Intl","Santiago","Chile","SCL","SCEL",-33.39,-70.78,1555,-4,"S"
