"340,""Frankfurt Main"",""Frankfurt"",""Germany"",""FRA"",""EDDF"",50.02,8.54,364,1,""E"""
"341,""Munster Osnabruck"",""Munster"",""Germany"",""FMO"",""EDDG"",52.13,7.68,160,1,""E"""
"342,""Hamburg"",""Hamburg"",""Germany"",""HAM"",""EDDH"",53.63,9.98,53,1,""E"""
"344,""Koln Bonn"",""Cologne"",""Germany"",""CGN"",""EDDK"",50.86,7.14,302,1,""E"""
"345,""Dusseldorf"",""Duesseldorf"",""Germany"",""DUS"",""EDDL"",51.28,6.76,147,1,""E"""
"346,""Franz Josef Strauss"",""Munich"",""Germany"",""MUC"",""EDDM"",48.35,11.78,1487,1,""E"""
"347,""Nurnberg"",""Nuernberg"",""Germany"",""NUE"",""EDDN"",49.49,11.06,1046,1,""E"""
"348,""Leipzig Halle"",""Leipzig"",""Germany"",""LEJ"",""EDDP"",51.43,12.24,465,1,""E"""
"349,""Saarbrucken"",""Saarbruecken"",""Germany"",""SCN"",""EDDR"",49.21,7.10,1058,1,""E"""
"356,""Mannheim City"",""Mannheim"",""Germany"",""MHG"",""EDFM"",49.47,8.51,309,1,""E"""
"363,""Kiel Holtenau"",""Kiel"",""Germany"",""KEL"",""EDHK"",54.37,10.14,101,1,""E"""
"364,""Lubeck Blankensee"",""Luebeck"",""Germany"",""LBC"",""EDHL"",53.80,10.71,53,1,""E"""
"368,""Essen Mulheim"",""Essen"",""Germany"",""ESS"",""EDLE"",51.40,6.93,424,1,""E"""
"371,""Paderborn Lippstadt"",""Paderborn"",""Germany"",""PAD"",""EDLP"",51.61,8.61,699,1,""E"""
"371,""Paderborn Lippstadt"",""Paderborn"",""Germany"",""PAD"",""EDLP"",51.61,8.61,699,1,""E"""
"382,""Friedrichshafen"",""Friedrichshafen"",""Germany"",""FDH"",""EDNY"",47.67,9.51,1367,1,""E"""
"386,""Bayreuth"",""Bayreuth"",""Germany"",""BYU"",""EDQD"",49.98,11.63,1601,1,""E"""
"388,""Hof Plauen"",""Hof"",""Germany"",""HOQ"",""EDQM"",50.28,11.85,1960,1,""E"""
"400,""Kassel Calden"",""Kassel"",""Germany"",""KSF"",""EDVK"",51.40,9.37,908,1,""E"""
"400,""Kassel Calden"",""Kassel"",""Germany"",""KSF"",""EDVK"",51.40,9.37,908,1,""E"""
"410,""Westerland Sylt"",""Westerland"",""Germany"",""GWT"",""EDXW"",54.91,8.34,51,1,""E"""
"410,""Westerland Sylt"",""Westerland"",""Germany"",""GWT"",""EDXW"",54.91,8.34,51,1,""E"""
